longitude,latitude,price,property_type,property_subtype,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,furnished,province,land_surface,balcony,swimming_pool,availability_clean
4.31877614,50.4659048,149000,House,House,1975.0,To be renovated,160.0,3.0,1.0,False,False,Hainaut,927.0,False,False,Unknown
4.47229297,50.4542639,199000,House,House,1975.0,Normal,168.0,2.0,1.0,False,False,Hainaut,258.0,False,False,Unknown
4.3447188,50.4652706,270000,House,House,1975.0,To renovate,138.0,3.0,1.0,False,False,Hainaut,516.0,False,False,On contract
4.3809937,50.4608131,295000,House,House,1975.0,Normal,283.0,3.0,2.0,False,False,Hainaut,573.0,False,False,On contract
4.0418874,50.6947227,225000,House,Cottage,1865.0,To be renovated,122.0,3.0,1.0,False,False,Hainaut,2833.0,False,False,On contract
4.1134782,50.4726932,265000,House,Villa,1975.0,To renovate,172.0,3.0,1.0,False,False,Hainaut,704.0,False,False,On contract
4.4486494,50.4088025,195000,Appartment,Flat,1975.0,Normal,166.0,3.0,1.0,True,False,Hainaut,573.0,False,False,On contract
4.3562286,50.4435386,125000,House,MixedBuilding,1975.0,Unknown,65.0,2.0,1.0,False,False,Hainaut,197.0,False,False,Unknown
4.1193273,50.4834252,265000,House,House,1975.0,Excellent,123.0,3.0,1.0,False,False,Hainaut,579.0,False,False,Unknown
4.2263205,50.4803787,165000,House,House,1975.0,Normal,98.0,2.0,1.0,False,False,Hainaut,240.0,False,True,Unknown
4.4524453,50.4002678,240000,House,House,1899.0,Excellent,173.0,5.0,2.0,False,False,Hainaut,363.0,False,False,On contract
4.3859076,50.4416806,299000,House,House,1975.0,Excellent,130.0,3.0,1.0,False,False,Hainaut,450.0,False,False,Unknown
4.3878413,50.4486124,149000,House,House,1975.0,Unknown,135.0,3.0,1.0,False,False,Hainaut,465.0,False,False,Unknown
4.41040351,50.39625545,125000,House,House,1975.0,To be renovated,80.0,2.0,1.0,False,False,Hainaut,250.0,False,False,On contract
4.1914321,50.4751358,125000,House,House,1975.0,To be renovated,159.0,3.0,1.0,False,False,Hainaut,90.0,False,False,On contract
4.1086281,50.5027896,419000,House,House,1975.0,Normal,200.0,5.0,1.0,False,False,Hainaut,2000.0,False,False,Unknown
3.8771551,50.4082363,110000,Appartment,Flat,1975.0,Normal,86.0,2.0,1.0,False,False,Hainaut,573.0,False,False,On contract
4.5363885,50.4771076,225000,House,House,1900.0,To be renovated,169.0,4.0,1.0,False,False,Hainaut,790.0,False,False,On contract
4.31079171,50.4859216,369000,House,House,1975.0,Normal,185.0,4.0,1.0,False,False,Hainaut,600.0,False,False,Unknown
4.3809937,50.4608131,295000,House,MixedBuilding,1975.0,Normal,283.0,3.0,2.0,False,False,Hainaut,260.0,False,False,On contract
4.32842013,50.41311865,585000,Appartment,Loft,1975.0,Normal,300.0,5.0,1.0,False,False,Hainaut,573.0,False,False,Immediately
4.42567701,50.47836209,325000,House,House,1975.0,Normal,160.0,3.0,2.0,False,False,Hainaut,1342.0,False,False,On contract
4.1638777,50.4138612,400000,Appartment,Penthouse,2022.0,Excellent,119.0,3.0,1.0,True,False,Hainaut,573.0,False,False,On contract
4.187011,50.4785706,209000,Appartment,Flat,1975.0,Normal,118.0,2.0,1.0,True,False,Hainaut,573.0,False,False,Unknown
3.4230074,50.5137819,229000,House,MasterHouse,1975.0,Unknown,245.0,5.0,2.0,False,False,Hainaut,728.0,False,False,On contract
4.449213,50.4157265,99000,Appartment,Flat,1975.0,Normal,53.0,1.0,1.0,False,False,Hainaut,573.0,False,False,On contract
4.27573961,50.35032145,399000,House,House,1975.0,Normal,185.0,4.0,1.0,False,False,Hainaut,5000.0,False,False,Unknown
3.7391483,50.7365889,299500,House,House,1850.0,Excellent,189.0,4.0,1.0,False,False,Hainaut,245.0,False,False,On contract
4.4795659,50.4239504,138000,House,House,1975.0,Normal,113.0,2.0,1.0,False,False,Hainaut,114.0,False,False,Unknown
4.4777803,50.4018544,110000,Appartment,Flat,1975.0,Unknown,76.0,2.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
4.18733,50.47441,180000,House,House,1975.0,Normal,134.0,3.0,1.0,False,False,Hainaut,573.0,False,False,Immediately
4.35922464,50.43953025,179000,House,House,1920.0,Normal,133.0,2.0,1.0,False,False,Hainaut,573.0,False,False,On contract
4.27524221,50.37166135,169000,House,House,1975.0,To be renovated,139.0,3.0,1.0,False,False,Hainaut,573.0,False,False,On contract
4.1892216,50.469385,145000,Appartment,Flat,1975.0,Unknown,70.0,1.0,1.0,True,True,Hainaut,573.0,False,False,Unknown
4.42206015,50.43547155,75000,House,House,1975.0,To be renovated,59.0,1.0,1.0,False,False,Hainaut,573.0,False,False,On contract
3.9694901,50.5117084,800000,House,Villa,1975.0,Excellent,397.0,6.0,1.0,False,False,Hainaut,2900.0,False,True,Unknown
4.3267293,50.4088642,140000,House,House,1975.0,Unknown,85.0,2.0,1.0,False,False,Hainaut,69.0,False,False,Unknown
4.4182721,50.35041895,649000,House,House,1975.0,Normal,185.0,4.0,2.0,False,False,Hainaut,3500.0,False,False,Unknown
4.3891047,50.4447363,265000,House,House,1975.0,Excellent,170.0,3.0,2.0,False,False,Hainaut,540.0,False,False,On contract
4.4058085,50.3894633,180000,House,House,1975.0,Excellent,140.0,1.0,1.0,False,False,Hainaut,140.0,False,False,On contract
3.841308,50.7140358,115000,House,House,1975.0,To be renovated,74.0,2.0,1.0,False,False,Hainaut,67.0,False,False,Unknown
4.399211,50.4075342,65000,House,House,1975.0,To renovate,94.0,1.0,1.0,False,False,Hainaut,573.0,False,False,On contract
4.3815368,50.4675679,597000,House,House,2007.0,Normal,232.0,4.0,1.0,False,False,Hainaut,2530.0,False,False,On contract
4.1666667,50.1666667,135000,Appartment,Flat,1975.0,Unknown,90.0,2.0,1.0,True,False,Hainaut,573.0,False,False,Unknown
4.4490664,50.4083585,225000,Appartment,Flat,1980.0,Normal,149.0,3.0,1.0,True,False,Hainaut,573.0,False,False,On contract
4.4589418,50.3914084,155000,House,House,1975.0,To renovate,121.0,3.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
4.4708406,50.4011295,175000,House,House,1975.0,To restore,110.0,2.0,1.0,False,False,Hainaut,140.0,False,False,Unknown
4.5419184,50.4123506,269000,House,House,1975.0,Normal,130.0,4.0,3.0,False,True,Hainaut,157.0,False,False,Unknown
4.25613,50.01525,279000,House,Villa,2008.0,Normal,187.0,4.0,1.0,False,False,Hainaut,1262.0,False,False,On contract
4.3344867,50.4101922,279000,House,House,1975.0,Excellent,143.0,4.0,2.0,False,False,Hainaut,430.0,False,False,Unknown
4.47117,50.40728,275000,House,House,1975.0,To be renovated,242.0,5.0,2.0,False,False,Hainaut,573.0,False,False,Immediately
4.1834284,50.5106948,399000,House,Villa,1975.0,Normal,240.0,5.0,2.0,False,False,Hainaut,1748.0,False,True,On contract
4.4649806,50.4166228,349000,House,House,1975.0,Excellent,150.0,5.0,2.0,False,False,Hainaut,440.0,False,False,On contract
3.9095092,50.4384467,205000,House,House,1975.0,Excellent,151.0,2.0,1.0,False,False,Hainaut,1385.0,False,False,Unknown
4.16958149,50.0268021,55000,House,House,1975.0,To be renovated,74.0,3.0,1.0,False,False,Hainaut,350.0,False,False,On contract
4.0502931,50.6933701,177500,Appartment,GroundFloor,1975.0,Unknown,65.0,2.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
3.3898846,50.6075985,219000,Appartment,Flat,2026.0,New,60.0,1.0,1.0,True,False,Hainaut,573.0,True,True,On contract
4.0502931,50.6933701,172500,Appartment,Flat,1975.0,Unknown,65.0,2.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
4.10873,50.50293,249000,Appartment,Flat,2017.0,Excellent,94.0,3.0,1.0,True,False,Hainaut,573.0,True,False,Unknown
4.2456208,50.4555788,270000,House,House,1975.0,Normal,399.0,4.0,1.0,False,False,Hainaut,560.0,False,False,Negotiable
4.5205286,50.4017811,179000,House,House,1887.0,To be renovated,330.0,5.0,5.0,False,False,Hainaut,240.0,False,False,On contract
3.67696,50.5627762,385000,House,House,1975.0,Normal,253.0,4.0,1.0,False,False,Hainaut,1114.0,False,False,On contract
4.3262289,50.4637256,135000,House,House,1887.0,To renovate,100.0,2.0,1.0,False,False,Hainaut,290.0,False,False,On contract
